,priceToOperatingCashFlowsRatio,priceToSalesRatio,enterpriseValueMultiple,ebitperRevenue,netProfitMargin,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,receivablesTurnover,payablesTurnover,inventoryTurnover,quickRatio,cashRatio,currentRatio,debtRatio,debtEquityRatio,totalDebtToCapitalization,dividendPayoutRatio,ClusterID
HRL,1.2584311331906577,1.0164510725512954,1.6609478520761218,1.0155686568739108,1.2800733330434342,1.9093558895810705,-0.04616248037112642,1.0296046800212728,0.6234157760553481,1.1857174003924495,0.8975553787260859,1.737857240190915,2.057753382138687,1.7318099819603125,0.19025766642894798,-0.0064970671141647805,0.16547547173964838,0.4391906200815058,5
HST,0.5809574342445804,0.29068830213722074,0.45690193743033747,0.6632417015209507,0.7570611123544073,0.0,1.20943568356575,0.0,5.56534321738837,1.9280210112961216,0.0,6.356729335945638,10.60947969890603,4.6182693809972655,0.6472308780515782,0.3848385270718778,0.621390745287151,0.3083587911803824,5
HPQ,0.335743382178483,0.13721407043122708,0.49706495721066546,0.314410670636577,0.4932779260627476,-10.412514165092766,-66.28028248059113,2.1195507788914383,1.763222478667902,0.17915907577913573,0.7200490827084189,0.23748516884148976,0.26494933571948487,0.39264123770737075,0.6471164536618124,-26.45420119915627,2.3198215120474597,0.406010999366445,3
HUM,0.8213026265334499,0.1674076699803847,0.7238408455749945,0.2678950628757516,0.24936633230527838,0.654640023702143,-0.3320142513442804,3.3941084238715686,7.682588507347343,0.3196153941949446,0.0,0.8931434655090164,0.4304123330705258,0.8350587622489175,0.8428876168605665,-0.5452516942639558,0.8957125921397742,1.8497995361629411,1
HBAN,0.3860192916861298,0.9968942958328652,0.7920551427097235,1.345540707554366,1.5183508915110548,0.0,0.7527126006433905,0.0,0.0,0.0,0.0,0.031384961914519276,0.08984020367791824,0.0325718662231742,0.6677494439559302,1.089586451209578,1.2075422446025448,0.15148236542794047,1
HII,0.5980981917654211,0.4525759676074475,0.6352410663788887,0.7841353993100484,0.9068663056561711,1.1984531783141668,1.0259275635046023,1.1778476633750543,2.7148398410495163,1.1507244584815417,1.4388969450356437,0.25920857761587207,0.4090821834214582,0.644128016378632,0.624181462229123,-0.5498290102556181,0.9266264848433247,2.3911098135904547,1
IEX,1.351194481528773,1.7652182869393902,1.3390778298121848,1.437584315089006,1.4661387334909175,1.4192392265891571,0.38283933376110096,1.1682998930750357,0.9262251095033563,1.0373608030280903,0.2518701819617422,2.05741781060583,3.987390520337639,2.022859053532895,0.7586444339431578,-0.2764412665293224,0.6034603144559738,0.7188133797185897,5
IDXX,1.8207096106172331,1.756932103220145,1.306048997353425,1.4801468933543807,1.4365002407893184,3.9311869725998836,79.46127552160709,2.49521985874648,1.155018478732242,1.7984929154646672,0.6226689489175723,0.32525609160298424,0.2974419334743328,0.4215011231565583,2.2340813535281896,93.36074576725122,2.3768646425610314,0.5378884501356017,4
INFO,1.0909517521436893,2.37518639691242,1.744567194021097,1.014158691902441,1.1996643549898487,-2.949394667003665,0.12575286181851517,0.24390213220957283,0.6099194776938581,4.4673223549777274,0.0,0.3791202993974238,0.16123158891052977,0.32003844838938317,1.0980625126578003,-0.4600424461325809,0.8380165202784251,0.374635010041116,1
ITW,1.0000246169949334,1.2884699281834753,0.9577219133587255,1.5403049777527258,1.5392345221008774,2.2200682421331988,1.4651324551518128,1.740298131957984,0.6360823041167627,1.027725872969006,0.31847746996607573,1.122480070623669,1.3237693141859508,1.1012293445634684,1.5412002970363867,-1.473487173886024,1.4029450368830656,0.9707509838101638,5
ILMN,1.7531842594845886,3.2066350130821384,1.7494759710581498,1.9858283593617305,2.089788230270318,0.7349639529907495,-0.4406807514823239,1.7537637541800224,0.9090913790939167,1.1262392992089878,0.44031549251034235,1.5007342466365556,1.1739055853824027,1.2357082397369534,0.985371674293208,-0.47182340063811457,0.8169343450032162,0.9072480953925289,5
IR,1.0645703777109583,0.6474941628982726,0.9748807053771248,0.7315110020664696,0.7571554033415704,1.4823707822570455,0.35437751740276835,0.8002767469652176,0.6870738111034956,0.5855978101559559,0.265238709916924,0.7999172195970264,0.6525921858584149,0.8966478047702551,0.709268885438466,-0.37850689043474317,0.7441695304940319,0.6566625831300283,1
INTC,0.28962209611627043,0.6349695051701909,0.3580636641770994,1.4807556799316515,1.6089528930241876,1.0407376958115762,2.245253016555981,0.6975003018959063,1.650878991860068,0.9051144678542971,0.7261039613217273,0.64159956052115,0.23404185963425547,0.7986627291086471,0.7710005173761327,0.9981065953594975,0.5412274235061102,0.9243386271555509,1
ICE,0.8919288215684578,2.302566824180197,1.0817195600374496,1.5380707755724814,1.4760144082697813,4.810784044752849,0.6933352719870594,2.076738369184592,0.20919046006384567,0.7511081907722482,0.0,0.04226927697341416,0.0817385779808386,0.7442913851535243,0.5475818548595665,0.49171197453918575,0.8047009164600227,0.4181403071515529,5
IBM,0.2696397872614625,0.2726008602673957,0.42874257522705755,0.686016931933961,0.593755588509579,1.2147983557382511,4.1311383406603674,0.4385943726603067,0.2826758057654228,0.5479263991398652,3.5566284024228527,0.7888030692259796,0.3912512214345857,0.5933450431159563,1.3896722917561073,7.701373548804994,1.5163034864847584,2.4208751577232483,1
INCY,1.8276801159291778,1.7431390299188363,3.805729713755087,0.41317941614462866,0.4906268173340335,0.21218904653740217,-0.11407977597517847,1.052088970292359,0.8273217222662366,1.3768150871080653,7.192365878506343,2.7622909300094576,5.07098690022938,2.1387830842855746,0.022660115157962277,-0.008079775961247352,0.021119762496807724,0.18487835285387677,5
IP,0.39690654657296054,0.3828749689155939,0.783786101438823,0.8532503649216795,0.8717128219656155,0.7697738850656894,1.7285312719606467,0.849908147559704,0.7765815957023146,0.9086298890722228,1.1926780984703744,0.9115580732764548,0.3375032693448997,0.8212885840274377,1.55815521773917,3.995180351256001,1.4655995372025492,1.0626657231831105,1
IPG,1.4663845270951226,0.27724594231365657,0.7888862225268951,0.5754161950284891,0.48894577055330923,2.043583830545286,1.3908752893856842,0.6805886782979791,0.19299661768795714,0.0739234294353172,0.0,0.5871949176536156,0.13671523327231777,0.5406774517356492,0.8455232030516974,1.3980202416847813,1.4466857522658378,0.25595567639794803,1
IFF,2.5625548651817796,1.9647042887382458,2.3071164913096025,0.9652229851916901,0.8562836838200514,0.6660112610599696,0.3535488404778637,0.4383595650662827,0.5634348045994783,1.1199270581689065,0.5364452939726891,1.4636544187980096,1.5459721532366453,1.4369794218520333,1.0899988570122299,1.3094600065547226,0.9041110272816786,0.6668127682578397,1
INTU,1.2310988654561137,2.2257327809073266,0.056371550163814496,1.264282190913464,1.242681139659674,1.9539517831352067,3.301889439715648,3.4401642313730227,10.534877246170533,0.720337733880423,0.0,0.8349062113323835,1.3872360061514284,0.8434173707744698,0.2597448344946777,0.32837283462605255,0.21588762023060837,1.2944071469261935,5
ISRG,2.1234838397207363,3.5599704022559133,1.75277444108712,2.290574675368014,2.553848593992941,0.8728533649361906,-0.3386304773674454,1.604795404404113,0.7894518503445,2.552610971030397,0.5440588225905468,3.0692569601136257,1.9353023904602462,2.6218462089396755,0.0,-0.0,0.0,1.2013063939750959,5
IVZ,0.4374632561631317,0.4364254294199894,0.8058852567989128,0.8306452345515697,0.774086963686429,1.9365912086882628,0.6171643554279275,1.3833916958479238,0.13396986523274365,0.020648871129670832,0.0,1.708483377682347,3.0059014667165025,1.062219618058548,1.683029017741685,1.011612707674238,1.2548834003635643,0.19188019406766194,1
IPGP,0.6121606782986864,0.8703736535542707,0.5170924654360252,1.6554768891717377,1.4984834424988356,0.5805043884012886,1.4565522402020388,1.2133800265668395,0.8510870212714721,1.5139343164636594,0.2994538701177043,3.0718689762450397,2.854742066666287,3.3893566770838373,0.06587188886320358,0.058164061851218245,0.04177542160468292,1.0641406811514729,5
IQV,0.8510646407448388,0.5471656424554363,0.8430924493415319,0.46766068691654084,0.20976022953781642,1.1198494474986558,-0.07738979530126343,0.21837405819423059,0.584926789229539,0.280582322285922,0.0,0.6340229861392851,0.46671830738991565,0.5441286583976299,1.6758185164547557,-1.4556027154800997,1.462295553392936,0.718924659215306,1
IRM,0.6053728488790618,0.2849508622182848,0.7217287391665724,0.4963349393461412,0.33080837267576374,2.714047315205655,1.6281506581519618,4.606273819994137,0.37952957861084713,1.4248106688425939,0.0,0.7841440556175909,0.22378133714142318,0.6790916184842043,1.400294404404596,3.2887158034185435,1.4936466618940176,0.5759351564708769,1
