,priceToOperatingCashFlowsRatio,priceToSalesRatio,enterpriseValueMultiple,ebitperRevenue,netProfitMargin,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,receivablesTurnover,payablesTurnover,inventoryTurnover,quickRatio,cashRatio,currentRatio,debtRatio,debtEquityRatio,totalDebtToCapitalization,dividendPayoutRatio
BWA,0.039481042373887935,0.24145463742605897,0.038105673268819744,9.945664933192488,15.004502144706203,13.752558811764722,11.282484990651007,6.160508455772862,0.000779489804804548,0.05628238848877095,0.01701670781819537,1.2491277622961352,1.8402421979502135,0.5273320799111064,1.5106399980517038,0.5295421362934537,0.9022533230007878,0.027002930986100585
BXP,0.05633023941750015,0.10779416899020153,0.06716217763335079,2.377907982922457,3.1751402146053245,0.0,6.894506828195071,0.0,0.11987876351992995,0.3860041532885365,0.0,2.023280996559473,4.891809445085969,2.436995147072859,2.25956191476347,1.0570953546499817,2.1930870300128325,0.23076124098449452
BSX,0.32530461030450186,0.2925472817133151,0.04168502192498923,7.491279280421986,12.096156520440699,35.65253386721461,0.7697710339953647,3.7754897297335597,0.09906167169999373,0.2908922323767897,0.019747277216261915,0.15079153305670892,0.095116194838733,0.18757145561913022,3.960733589867529,0.6374550847914795,2.4780232082634646,0.003061764434389163
BMY,0.029453319071234836,0.22097500308987073,0.028938559029306515,11.652231099680733,15.506788001648,4.778463334617408,1.4097060136928168,15.667924172537562,0.058544254460579426,0.14404584381994928,0.04310707304376612,0.6302569256276417,2.222877635123661,0.3970796517771601,2.476637283426095,0.41293466907466864,1.905150912016737,0.04963331539453221
AVGO,0.016229909738641714,0.19254239862821582,0.028794055197570362,4.714452249739043,17.238700113043386,11.904211559107706,29.071309979263656,1.7219112964570258,0.1490269419232483,0.1524323382548422,0.08630712251911044,1.098323416393071,3.0496613208806678,0.8291634730287925,4.888778099495669,5.231319444187536,1.701402288304307,0.4455011281586011
BR,0.03856884290347936,0.1519402899615469,0.004845741638482385,3.0450125723612937,3.240003112380026,10.26961976018144,27.029554570848315,3.3948251169986072,0.14074675033105166,0.04699284026759428,0.0,0.39366238444619506,0.5654809048922448,0.2765297436365601,5.307616108592864,10.396470111497967,2.4304488641301303,0.111639512608978
CHRW,0.06521458252708083,0.1424513193177586,0.08404145281693089,2.1288479411651986,3.142904181744416,5.222719736045201,1.4416559485970164,15.836210496647993,0.09943097922212964,0.2523276316814755,0.0,1.646135563183438,2.5673188334141352,0.8757396109402721,3.133136593948885,0.3806421258695576,1.9377830559907343,0.07489036374203958
COG,0.406000921763954,1.3464682949637288,0.17639597434012913,10.295405295030376,20.728432985991446,31.47228934413669,26.137659533979782,37.57092801503063,0.0910553149592174,0.4293542041419939,0.15009363996108596,1.1583649098552098,0.037097753203420035,0.7854092561830095,4.74574488915171,1.855040982278758,3.3999871330236453,0.03621640068483712
CDNS,0.03212863884976079,0.2531147100256551,0.056315675781804055,3.824011524833653,4.741303983616126,6.382213454019925,16.966165684788795,4.356108930196839,0.17446382254836673,0.06400725808923653,0.3707947226908566,0.3976900129281102,1.2496003873105743,0.28547065913520175,2.527036014753636,2.7551722034611585,1.1029235165608973,0.0463305235568065
CPB,0.0420012310354774,0.27926247821777384,0.057337187700463914,5.710078877080003,3.793380093025732,4.254193149364715,0.012484666248577032,4.934286179359187,0.022587480959425015,0.13189371512226622,0.07272954272030267,0.6236546633258252,0.23861010373870004,0.5378133758369433,3.96566957307553,0.026038753582552587,2.4052383455927195,0.16366727597320324
