Ticker,priceToOperatingCashFlowsRatio,priceToSalesRatio,enterpriseValueMultiple,ebitperRevenue,netProfitMargin,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,receivablesTurnover,payablesTurnover,inventoryTurnover,quickRatio,cashRatio,currentRatio,debtRatio,debtEquityRatio,totalDebtToCapitalization,dividendPayoutRatio
LYB,5.8317,0.818,6.006924095,0.145190237,0.120244078,0.2675,0.4572,0.1464,11.0775,2.9676,8.9336,0.869943769,0.072737167,1.917,0.332,0.9152,0.477855834,14.2601
MTB,9.6128,3.4659,14.00311124,0.418575154,0.316758513,0,0.1188,0,0,0,0,0.186579188,0.101696204,0.114740427,0.1069,0.8307,0.328576549,14.8895
MAC,17.7301,6.3567,18.49277762,0.249260947,0.062497983,0,0.0203,0,4.7602,4.1913,0,0.300899907,0.125496983,0.300899907,0.5939,1.8171,0.643558725,2.4395
M,4.5845,0.3185,5.163649197,0.067718554,0.044371471,0.1252,0.1722,0.0429,65.4548,1.7112,4.7833,0.298547401,0.222094801,1.423,0.2475,0.7382,0.424689372,5.6429
MRO,3.686,1.8111,4.645071568,0.251139471,0.166514737,0.0613,0.0904,0.0578,6.0916,1.1858,59.2973,1.387008734,0.798034934,1.594,0.2579,0.4534,0.3119646,3.8227
MPC,6.6202,0.4198,8.109517236,0.048866141,0.028629688,0.0558,0.079,0.0507,18.4115,3.3537,12.6213,0.570520581,0.127648305,1.364,0.2961,0.7825,0.438986268,11.888
MKTX,35.4761,18.2377,33.2804847,0.500696796,0.396845477,0,0.2844,0,7.9071,5.1572,0,3.581065633,2.902994661,4.943536317,0,0,0.002788815,6.0587
MAR,15.712,1.784,15.36032385,0.129347721,0.091868195,-1.0744,0.8571,0.0832,10.1111,6.9123,0,0.380456735,0.049091192,0.42,0.3945,4.2009,0.807725544,6.9094
MMC,16.5448,2.687,15.47534847,0.168160535,0.110367893,0.9643,0.2197,0.109,3.5385,1.7197,0,1.093216897,0.216490658,1.205,0.2699,0.7754,0.436745407,4.7984
MLM,15.2852,2.5395,12.80569095,0.167937676,0.110737195,0.0819,0.095,0.0474,8.4002,5.1729,6.7176,0.722170956,0.057060057,1.736,0.3267,0.6309,0.386827984,11.2115
MAS,8.6558,1.0686,9.507359384,0.137337002,0.087809547,0.3464,-6.6126,0.2536,7.8341,2.437,9.904,0.962589074,0.328384798,1.643,0.5524,-26.8378,1.038702929,3.3781
MA,31.3091,13.0326,26.67451009,0.494314381,0.391906355,1.0655,1.086,1.0798,7.0436,5.1796,0,1.012162512,0.669541965,1.395,0.2548,1.1741,0.540028988,5.9779
MKC,24.0499,3.6513,22.26245903,0.169332027,0.166133595,1.9396,0.2824,0.0641,10.0799,2.2212,6.8484,0.307088974,0.04825898,0.739,0.4579,1.4758,0.596095753,6.237
MXIM,18.9986,7.1899,3.341458171,0.325978286,0.357548992,0.3013,0.4484,0.3167,7.2313,6.292,8.7514,6.084452551,5.114495631,6.842,0.2651,0.5379,0.349764964,3.1853
MCD,19.6493,6.5108,16.38756307,0.418416947,0.281771398,0.2476,-0.9466,0.1903,9.5186,4.8417,382.6242,1.112325542,0.29123928,1.363,0.9471,-4.9654,1.252182988,8.9523
MCK,5.6483,0.1064,20.87666675,0.003051526,0.000158642,0.01,0.0042,0.0288,11.9208,1.588,12.9816,0.564157763,0.07922713,1.022,0.1273,0.9383,0.484097138,20.5918
MDT,16.7189,3.8338,15.78354057,0.216709756,0.151552836,0.2549,0.0925,0.0543,5.0057,4.5496,8.3352,1.896836638,0.518531634,2.593,0.2823,0.5056,0.335795266,5.2042
MRK,18.1922,4.6979,16.99453268,0.206364969,0.147065778,0.3667,0.233,0.0915,6.0663,3.4262,8.0285,0.717598847,0.358686841,1.165,0.3039,0.9406,0.484685902,4.2002
MET,3.452,0.5964,10.32797561,0.092756951,0.075403659,0,0.0971,0,3.5695,0.6201,0,0.798338568,0.320555162,1.109391146,0.0252,0.3281,0.237075076,11.8946
MTD,25.0705,4.8253,20.00442495,0.233809876,0.17461965,0.4982,0.8687,0.2443,5.5173,4.4908,11.2,0.971684317,0.242513282,1.424,0.3951,1.7535,0.636829329,22.4069
MGM,7.425,1.0873,12.04744915,0.10935871,0.03968105,0.023,0.0717,0.0376,19.6137,4.5423,110.3879,0.740608814,0.517742656,0.857,0.5055,2.345,0.701048511,3.165
MCHP,12.3748,3.8743,18.90527517,0.132236658,0.066529582,0.4252,0.0673,0.0264,7.4077,7.1784,9.0067,0.552326806,0.180501158,0.933,0.5617,1.9493,0.660938151,7.0906
MU,3.7385,2.1066,0.931119605,0.304793643,0.269717167,0.1646,0.1759,0.1322,5.3974,1.0822,5.3727,1.744913928,1.119248826,2.583,0.1197,0.1631,0.14020416,11.8393
MSFT,19.9232,8.2618,3.732508579,0.347162735,0.311817105,0.2616,0.3835,0.3022,4.494,3.7465,53.2669,2.352967445,1.927672141,2.529,0.2735,0.7658,0.433689733,6.8011
MAA,14.8364,6.9331,16.77649233,0.253988619,0.141852272,0,0.0362,0,0,0,0,0.069184958,0.069184958,0.099042419,0.3999,0.7363,0.423965818,6.4503
MHK,7.3461,0.8693,6.434535808,0.108665542,0.086311658,0.145,0.1159,0.0598,6.3101,1.6458,4.7134,0.528194354,0.036448649,1.381,0.2487,0.4383,0.304717415,15.8755
TAP,4.7747,1.0336,8.745653708,0.15301404,0.103671446,0.3632,0.0827,0.0391,12.1484,0.8973,18.2027,0.448487526,0.245971773,0.643,0.3483,0.7765,0.437090812,10.7931
MDLZ,14.7409,2.2437,13.03995668,0.180198936,0.130349294,-5.1935,0.1319,0.0409,7.9418,1.178,10.075,0.24532473,0.06572265,0.454,0.2929,0.7166,0.417460065,2.7156
MNST,23.4248,7.1488,20.78222754,0.339692628,0.260823816,0.6867,0.275,0.2703,8.1521,3.7368,14.2738,2.39996174,1.060497883,3.001,0,0,0,2.0853
